Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
choose_route_763857bf	hong	What class do you have?	game/script.rpy	121	hong "[what]" nointeract
stats_da9a2096		(Reading my timetable, I see the words "AP STATISTICS".)	game/script.rpy	135	"[what]"
stats_290a28e3	you	Alex, I have AP Statistics.	game/script.rpy	136	you "[what]"
stats_d22fcab7	hong	You have AP Statistics with me? Let’s go, I’ll introduce you to the teacher.	game/script.rpy	137	hong "[what]"
stats_3a2c9c9f	hong	I was gonna introduce you to Teacher A but it seems he's not here yet.	game/script.rpy	141	hong "[what]"
stats_3308ccb6	hong	Where are you gonna sit?	game/script.rpy	142	hong "[what]"
choose_route2_15d931bb	you	I want to sit on the chair to the right over there.	game/script.rpy	147	you "[what]"
choose_route2_3b45f789	hong	Oh! You're sitting next to me.	game/script.rpy	148	hong "[what]"
choose_route2_b723a759	you	I want to sit on the chair to the left over there.	game/script.rpy	152	you "[what]"
choose_route2_8a512b52	hong	Do you remember Lucas? You'll be sitting next to him.	game/script.rpy	153	hong "[what]"
ea484c4f		init python: gallery = Gallery()	game/choose_route_screen.rpy	1	"[what]"
99dc6a58		gallery.button("Alex H") #opens thsi image when clicked on cg gallery.image("hong flustered") gallery.unlock("hong flustered")	game/choose_route_screen.rpy	1	"[what]"
d84370c6		gallery.button("Alex B") gallery.image("bai flustered") gallery.unlock("bai")	game/choose_route_screen.rpy	1	"[what]"
0d4c2159		gallery.button("Lucas") gallery.image("lucas flustered") gallery.unlock("lucas")	game/choose_route_screen.rpy	1	"[what]"
3f65fcd8		screen chapter_select: #if renpy.get_screen("choose_route"): text "{size=*5}{color=#cc0066}Gallery:{/color}{/size}" vbox: xpos 0.5 ypos 0.5 textbutton "{color=#cc0066}Chapter 1: The Chance Encounter{/color}": action If(persistent.hong_ch1, Start("Alex_H_CH1"), NullAction()) textbutton "{color=#cc0066}Chapter 2: The First Rendezvous{/color}": action If(persistent.hong_ch2, Start("Alex_H_CH2"), NullAction()) textbutton "{color=#cc0066}Chapter 3: The Soul That Took a Detour{/color}": action If(persistent.hong_ch3, Start("Alex_H_CH3"), NullAction()) textbutton "{color=#cc0066}Chapter 4: A Candle in the Dark{/color}": action If(persistent.hong_ch4, Start("Alex_H_CH4"), NullAction()) textbutton "{color=#cc0066}Chapter 5: The First Kiss Never Ends{/color}": action If(persistent.hong_ch5, Start("Alex_H_CH1"), NullAction()) textbutton "{color=#cc0066}Chapter 6: The Wonders of the World{/color}": action If(persistent.hong_ch6, Start("Alex_H_CH1"), NullAction()) textbutton "{color=#cc0066}Chapter 7: The Spark and the Flames{/color}": action If(persistent.hong_ch7, Start("Alex_H_CH1"), NullAction()) textbutton "{color=#cc0066}Chapter 8: Revelation{/color}": action If(persistent.hong_ch8, Start("Alex_H_CH1"), NullAction()) textbutton "{color=#cc0066}Chapter 9: Sunset{/color}": action If(persistent.hong_ch9, Start("Alex_H_CH1"), NullAction())	game/choose_route_screen.rpy	83	"[what]"
498b6123		hbox: xalign 0.5 yalign 0.5 yoffset 30 spacing 20	game/choose_route_screen.rpy	114	"[what]"
6cc500e1		add gallery.make_button(name="Alex H", unlocked="Sprites/hong.png", locked = "Sprites/hong flustered") add gallery.make_button(name="Alex B", unlocked="Sprites/bai.png", locked = "Sprites/bai flustered") add gallery.make_button(name="Lucas", unlocked="Sprites/lucas.png", locked = "Sprites/lucas flustered") #action Jump("script_hong")	game/choose_route_screen.rpy	114	"[what]"
f39a868d		textbutton: auto "sprites/lucas" action Jump("Lucas_CH1")	game/choose_route_screen.rpy	127	"[what]"
c7cbe100		textbutton: auto "sprites/bai" action Jump("Alex_B_CH1")	game/choose_route_screen.rpy	127	"[what]"
aaaa0ae9		screen RouteSelect(): frame: # Set your frame size and placement here #style "empty" background None align (0.5, 0.5) # Set screen size here hbox: # Swap it out to vbox if it fits more into the design of what you've imagined spacing 200 # Set box size, alignment, and spacing here textbutton "image_of_choice_1.png": # Use imagebutton if that is what you need. #action Jump("choice_1_start_label") action [Hide("RouteSelect"), SetVariable("myroute", 1), Jump("start.route_after_select")] # use whichever jump action you prefer, the variable setting is optional as you can just jump to a different label	game/choose_route_screen.rpy	127	"[what]"
bb3cf80f		textbutton "image_of_choice_2.png": #action Jump("choice_2_start_label") action [Hide("RouteSelect"), SetVariable("myroute", 2), Jump("start.route_after_select")] #Append the list with the same pattern if you want to.	game/choose_route_screen.rpy	127	"[what]"
Lucas_CH1_1699ad97		At this moment, a middle aged man wearing basketball shorts over leggings walks into the class.	game/script_lucas.rpy	6	"[what]"
Lucas_CH1_70296c43		Alex H walks over to the middle aged man smiling.	game/script_lucas.rpy	7	"[what]"
Lucas_CH1_e861b557	"Alex H"	Teacher A! We have a new student in our AP Stats class. Do you wanna introduce yourself to him?	game/script_lucas.rpy	8	"Alex H" "[what]"
Lucas_CH1_ed951a63	"[you]"	{i}Outside of meeting Lucas, this is the first time I’ve seen him smile so brightly.{i}	game/script_lucas.rpy	10	"[you]" "[what]"
Lucas_CH1_be86d24f	"[you]"	Hi Teacher A, my name is [you] and I just transferred into Moscrop today.	game/script_lucas.rpy	11	"[you]" "[what]"
Lucas_CH1_5b1d2f57	"Teacher A"	Well it’s nice to meet you [you]. New student coming right into AP Statistics eh? Must be very smart.	game/script_lucas.rpy	12	"Teacher A" "[what]"
Lucas_CH1_0eeb0a00		Right as he said that, Lucas walks in late, hair still disheveled from him gym session earlier.	game/script_lucas.rpy	13	"[what]"
Lucas_CH1_99f92ee7	"[you]"	Wait but Lucas was in the weight training room earlier. Is he late from working out?	game/script_lucas.rpy	15	"[you]" "[what]"
Lucas_CH1_9e92df8d	lucas	[you]??? I’m surprised to see YOU here.	game/script_lucas.rpy	16	lucas "[what]"
Lucas_CH1_6f2e8207		Teacher A slaps Lucas’ back.	game/script_lucas.rpy	17	"[what]"
Lucas_CH1_e6168f8a	"Teacher A"	Mr. Souza! Hey [you] why don’t you sit next to Lucas, maybe he’ll actually behave if he sits next to you. Plus you guys can, y’know, get to know each other better. Right Souza? What do you think, [you]?	game/script_lucas.rpy	18	"Teacher A" "[what]"
lucas_ch1_choice_075f5448	"[you]"	Yeah sure! He seems like a cool guy!	game/script_lucas.rpy	22	"[you]" "[what]"
lucas_ch1_choice_eaf7609e		{i} I've been trying to work out too, maybe I could ask him about that. {i}	game/script_lucas.rpy	23	"[what]"
lucas_ch1_choice_59532847		{i} I don't really know him well, he seemed scary earlier, and he seems kinda gross... Alex H seems less intimidating to sit next to... {i}	game/script_lucas.rpy	26	"[what]"
lucas_ch1_choice_84dc87a0	"[you]"	C-could I maybe sit with Alex instead.	game/script_lucas.rpy	27	"[you]" "[what]"
lucas_ch1_choice_27070270		Looks away awkwardly...	game/script_lucas.rpy	28	"[what]"
choose_4d7f0565		#label locked: # show text "{color=#cc0066}This Chapter is Locked. Please complete it first.{/color}"	game/chapter_select_screen.rpy	53	"[what]"
choose_1af923ed		screen chapter_select: #if renpy.get_screen("choose_route"): text "{size=*5}{color=#cc0066}Gallery:{/color}{/size}" vbox: xpos 0.5 ypos 0.5 textbutton "{color=#cc0066}Chapter 1: The Chance Encounter{/color}": action If(persistent.hong_ch1, Jump("Alex_H_CH1"), NullAction()) textbutton "{color=#cc0066}Chapter 2: The First Rendezvous{/color}": action If(persistent.hong_ch2, Jump("Alex_H_CH2"), NullAction()) textbutton "{color=#cc0066}Chapter 3: The Soul That Took a Detour{/color}": action If(persistent.hong_ch3, Jump("Alex_H_CH3"), NullAction()) textbutton "{color=#cc0066}Chapter 4: A Candle in the Dark{/color}": action If(persistent.hong_ch4, Jump("Alex_H_CH4"), NullAction()) textbutton "{color=#cc0066}Chapter 5: The First Kiss Never Ends{/color}": action If(persistent.hong_ch5, Jump("Alex_H_CH1"), NullAction()) textbutton "{color=#cc0066}Chapter 6: The Wonders of the World{/color}": action If(persistent.hong_ch6, Jump("Alex_H_CH1"), NullAction()) textbutton "{color=#cc0066}Chapter 7: The Spark and the Flames{/color}": action If(persistent.hong_ch7, Jump("Alex_H_CH1"), NullAction()) textbutton "{color=#cc0066}Chapter 8: Revelation{/color}": action If(persistent.hong_ch8, Jump("Alex_H_CH1"), NullAction()) textbutton "{color=#cc0066}Chapter 9: Sunset{/color}": action If(persistent.hong_ch9, Jump("Alex_H_CH1"), NullAction())	game/chapter_select_screen.rpy	53	"[what]"
choose_8999fd20		return	game/chapter_select_screen.rpy	53	"[what]"
Alex_B_CH1_8385aa2c		(Looking at my period 1 class I see the words "WEIGHT TRAINING" on it. I only chose this class because I needed another class and my Dad insisted that I get some exercise.)	game/script_bai.rpy	20	"[what]"
Alex_B_CH1_17dd80f6		(To be honest, I’m not looking forward to this class. My impression of Lucas is that he’s intimidating and I assumed the other gym guys to be just like him.)	game/script_bai.rpy	21	"[what]"
Alex_B_CH1_0177d4c3	"[you]"	I have weight training during period 1...	game/script_bai.rpy	22	"[you]" "[what]"
Alex_B_CH1_22e64760		(Alex B who was waiting in the counselors for me chimed in.)	game/script_bai.rpy	24	"[what]"
Alex_B_CH1_7ec82340	"Alex B"	Weight training? I have weight training in block 1 as well. Alex H you can head to class, I’ll bring [you] with me.”	game/script_bai.rpy	25	"Alex B" "[what]"
Alex_B_CH1_c3dd9706		(Alex and I walked into the class together.)	game/script_bai.rpy	28	"[what]"
Alex_B_CH1_c1bab53f	you	You know, Alex, I never expected you to take weight training.	game/script_bai.rpy	29	you "[what]"
Alex_B_CH1_d7bcb402	bai	Well uhhh I didn’t expect YOU to take weight training either.	game/script_bai.rpy	30	bai "[what]"
Alex_B_CH1_5409dc74	you	Well, I thought I needed some exercise and I might as well lose some weight too.	game/script_bai.rpy	31	you "[what]"
Alex_B_CH1_34dd69e0	bai	You? lose weight? But you’re as skinny as a twig, you’re fine the way you are right now. Well either way, we don’t really do anything in this class. I usually just read manga.	game/script_bai.rpy	32	bai "[what]"
Alex_B_CH1_e4b2d437		(I look around the room and I see people sitting around talking and walking in and out of the room. Very few people were actually working out.)	game/script_bai.rpy	33	"[what]"
Alex_B_CH1_d10380c4	you	{i}I wanna workout but no one else is, I don’t wanna stand out.{i}	game/script_bai.rpy	34	you "[what]"
Alex_B_CH1_04e262f1	you	Oh... I wanted to exercise though...	game/script_bai.rpy	35	you "[what]"
Alex_B_CH1_3eca8914		(Alex B seemed to panic a bit after seeing my disappointed expression.)	game/script_bai.rpy	36	"[what]"
Alex_B_CH1_f792cc58	bai	Argh- Fine, I’ll help you train.	game/script_bai.rpy	38	bai "[what]"
Alex_B_CH1_c1_b817c338	you	Can you please spot my barbell squats?	game/script_bai.rpy	43	you "[what]"
Alex_B_CH1_c1_172c6535	you	Nevermind its fine. I guess I’ll just go do something else in class today.	game/script_bai.rpy	47	you "[what]"
Alex_B_CH1_c1_bd9275a8	you	No... It’s ok I’ll go ask someone else! Don’t worry about it Alex!	game/script_bai.rpy	49	you "[what]"
Alex_B_CH1_c1_ee7714ea	bai	I said I could help you though… Whatever it’s fine .	game/script_bai.rpy	50	bai "[what]"
Alex_B_CH1_c1_f111d92c	you	If you insist...ig you can help me with barbell squats.	game/script_bai.rpy	52	you "[what]"
Alex_B_CH1_p2_643b774f	bai	Barbell squats?! I-isn’t that too uhhh… nevermind, I’ll do it.	game/script_bai.rpy	55	bai "[what]"
Alex_B_CH1_p2_8449ac29		(I walk to pick up the cold metal bar. As I lift it to my chest and haul it over my head, he stops right behind me and holds up the bar for me so I can get a good grip of it.)	game/script_bai.rpy	57	"[what]"
Alex_B_CH1_p2_e941e37e		(I feel the air warm around my shoulders as he hovers his arms behind mine.)	game/script_bai.rpy	58	"[what]"
Alex_B_CH1_p2_1f9a6714	you	I’m ready.	game/script_bai.rpy	59	you "[what]"
Alex_B_CH1_p2_3e6a368d	bai	Ok.	game/script_bai.rpy	60	bai "[what]"
Alex_B_CH1_p2_8b232a13		(I do a few reps before I feel my thigh muscles tightening up, indicating an incoming cramp. I quickly finish my squat and lift the barbell back onto the squat rack.)	game/script_bai.rpy	61	"[what]"
Alex_B_CH1_p2_a8370660	bai	Hm? Why are you stopping?	game/script_bai.rpy	62	bai "[what]"
Alex_B_CH1_p2_83cdcc8e	you	Hss. I think I got a thigh cramp.	game/script_bai.rpy	63	you "[what]"
Alex_B_CH1_p2_475d1645	bai	Are you ok? Sit down, I’ll bring you some water.	game/script_bai.rpy	64	bai "[what]"
Alex_B_CH1_p2_944bf776		(Alex grabs my arm and helps me to the nearest bench.)	game/script_bai.rpy	65	"[what]"
Alex_B_CH1_p2_63b1ecd0	bai	Stay put there okay?	game/script_bai.rpy	66	bai "[what]"
Alex_B_CH1_p2_61c774aa		(He speeds out of the weight training room and comes rushing back with a bottle of water in hand.)	game/script_bai.rpy	67	"[what]"
Alex_B_CH1_p2_1b8d7f55	bai	Here, drink this and stretch out your leg.	game/script_bai.rpy	68	bai "[what]"
Alex_B_CH1_p2_8c5317b3		(He sits down next to me. His uni-brow was furrowed the whole time as he stares at me worriedly.)	game/script_bai.rpy	69	"[what]"
Alex_B_CH1_p2_5405f2b6		(I could feel his anxiety level rise whenever I winced in pain from the cramp.)	game/script_bai.rpy	70	"[what]"
Alex_B_CH1_p2_a8e690c2	you	{i}Why is he so worried about me? He was quite attentive back in elementary school, but it’s been so many years already.{i}	game/script_bai.rpy	71	you "[what]"
Alex_B_CH1_p2_cb8bf31b	you	Alex, I’m fine, don't worry too much.	game/script_bai.rpy	72	you "[what]"
Alex_B_CH1_p2_015c732c	bai	Huh? Who said I’m worried, I’m not.	game/script_bai.rpy	74	bai "[what]"
Alex_B_CH1_p2_82e8e2f8	you	{i}He still gets shy like he did when we were kids. That’s so cute. I’ll tease him a bit more.{i}	game/script_bai.rpy	75	you "[what]"
Alex_B_CH1_p2_77527072	you	Hmmmm really?	game/script_bai.rpy	76	you "[what]"
Alex_B_CH1_p2_bcf62a67	bai	Ya! I’m not worried, I’m just uhh trying to make sure you’re alright.	game/script_bai.rpy	77	bai "[what]"
Alex_B_CH1_p2_1fec79c6		(He shifts his gaze away from me. I could tell my teasing was effective because of the red blooming on the tip of his ear.)	game/script_bai.rpy	78	"[what]"
Alex_B_CH1_p2_87465b3a	bai	Class is ending, we should get ready to leave. Do you have time after school?	game/script_bai.rpy	80	bai "[what]"
Alex_B_CH1_p2_d133c804	bai	You’re already in shape but you’re still working out. You should eat more, I’ll take you to eat Chinese food after school.	game/script_bai.rpy	81	bai "[what]"
Alex_B_CH1_p2_297564f0	you	Alright, see you after school then.	game/script_bai.rpy	82	you "[what]"
Alex_B_CH2_cc038ad3	you	He told me to wait here after school... I wonder what class this is.	game/script_bai.rpy	90	you "[what]"
Alex_B_CH2_c98c3c20	bai	Hey [you]! Come on, let’s go. Y’know, I am very well-informed on the Chinese restaurants around here.	game/script_bai.rpy	92	bai "[what]"
Alex_B_CH2_1d50cb27		(I see a large group of students swarming around the teacher’s desk and notice the message “TEST NEXT CLASS” written on the whiteboard.)	game/script_bai.rpy	93	"[what]"
Alex_B_CH2_5e49309f	you	Hey, there’s a group of people asking the teacher questions. Don’t you want to stay behind?	game/script_bai.rpy	94	you "[what]"
Alex_B_CH2_5b30e56a	bai	Nah, that’s Teacher D. I don’t like his calculus class, plus his lessons never help with tests.	game/script_bai.rpy	95	bai "[what]"
Alex_B_CH2_cffc57e0	you	{i}Alex B seems like he’s in a bad mood. I hope I’m not bothering him too much...{i}	game/script_bai.rpy	96	you "[what]"
Alex_B_CH2_2df08bcd	bai	We’re here! Hopefully, they added dog to the menu.	game/script_bai.rpy	99	bai "[what]"
Alex_B_CH2_1dcc0e04	you	...huh I’ve never been to this restaurant before.	game/script_bai.rpy	100	you "[what]"
Alex_B_CH2_82ff77d9		(As we walk into the restaurant, a waiter greets us and leads us to our table.)	game/script_bai.rpy	101	"[what]"
Alex_B_CH2_1db47994	bai	Hey uh are you okay, [you]? You keep putting your head down.	game/script_bai.rpy	102	bai "[what]"
Alex_B_CH2_b64ff96b	you	Yeah, I’m fine!	game/script_bai.rpy	103	you "[what]"
Alex_B_CH2_539ddcde	you	{i}Why does he keep worrying about me? He’s the one who just had a bad calculus test.{i}	game/script_bai.rpy	104	you "[what]"
Alex_B_CH2_1942cfdc	bai	Sooo, have you been to this restaurant before?	game/script_bai.rpy	105	bai "[what]"
Alex_B_CH2_86742f9d	you	No, actually, what do you think I should order?	game/script_bai.rpy	106	you "[what]"
Alex_B_CH2_bc7fe062	bai	Really!? You’ve never been? This is my favorite restaurant to go to after a big test, the dumplings here are amazing! My friends even told me my head is shaped like one.	game/script_bai.rpy	107	bai "[what]"
Alex_B_CH2_cf7562b8	you	...I’m not sure if that’s a compliment.	game/script_bai.rpy	108	you "[what]"
Alex_B_CH2_5dda8147	bai	Huh?	game/script_bai.rpy	109	bai "[what]"
Alex_B_CH2_d70ed05d	you	Nothing...	game/script_bai.rpy	110	you "[what]"
Alex_B_CH2_015622df		(After our food arrives, we awkwardly eat in silence, only exchanging glances every few minutes amidst the lively dining room.)	game/script_bai.rpy	111	"[what]"
Alex_B_CH2_b7bb495b	you	{i}Why is he so quiet? I thought he was the one that invited me to this restaurant in the first place! Maybe I should have just gone straight home instead...{i}	game/script_bai.rpy	112	you "[what]"
Alex_B_CH2_15c9f7f9	bai	So... uh... how’s your little brother doing?	game/script_bai.rpy	113	bai "[what]"
Alex_B_CH2_f897052e		(My little brother, Jason. He was really young when we moved away, so he doesn’t remember much about this town, but he does remember Alex B’s brother, Ricky.)	game/script_bai.rpy	114	"[what]"
Alex_B_CH2_416c84ad		(In fact, while communications between me and Alex B decreased over the years, our little brothers have only increased. So much so to the point where they attend each other's birthdays yearly despite distance keeping them apart.)	game/script_bai.rpy	115	"[what]"
Alex_B_CH2_871d5a65	you	Jason’s doing alright. He’s still adjusting to his new school, but he’s really looking forward to hanging out with Ricky more.	game/script_bai.rpy	116	you "[what]"
Alex_B_CH2_2e1c76a0	bai	That’s good to hear. Maybe you can bring Jason over to our house sometime and they can hang out.	game/script_bai.rpy	117	bai "[what]"
Alex_B_CH2_482a16c7	you	Sure.	game/script_bai.rpy	118	you "[what]"
Alex_B_CH2_ca8af52a	you	{i} I haven’t been to Alex’s house since we played Just Dance together as kids, those were good times. We used to be best friends, just like our siblings, but time made us drift apart. {i}	game/script_bai.rpy	119	you "[what]"
Alex_B_CH2_c1fad8f5	bai	Are you finished eating yet? You don’t want to become a pig like Alex H, do you?	game/script_bai.rpy	120	bai "[what]"
Alex_B_CH2_4f247dd8		(I secretly laugh at his ridiculous comments. I see that’s one thing that hasn’t changed about him.)	game/script_bai.rpy	121	"[what]"
Alex_B_CH2_1da5e351	you	Haha yeah, I’m finished. The food here was delicious.	game/script_bai.rpy	122	you "[what]"
Alex_B_CH2_7cfea7a1	bai	Okay, let’s head out.	game/script_bai.rpy	123	bai "[what]"
Alex_B_CH2_81fdd6b7		(As we walk outside, we notice the harsh September rain pouring over the street, it was dark already. A typical autumn evening. I shivered from the cold, but suddenly, I felt a large jacket wrap around my shoulders.)	game/script_bai.rpy	124	"[what]"
Alex_B_CH2_d03729db	bai	Take it. It looks like you need that more than I do.	game/script_bai.rpy	125	bai "[what]"
Alex_B_CH2_ac14b82d	you	I-I wasn’t even that cold, but thank you.” I try to maintain my composure. I don’t remember him being like this in elementary school?	game/script_bai.rpy	126	you "[what]"
Alex_B_CH2_7907f632	bai	Let’s walk to the Skytrain station together, ok? I’m the only one with an umbrella, and I don’t want you to get sick.	game/script_bai.rpy	127	bai "[what]"
bai_ch1_choice1_2966f9df		(I slowly follow him down the busy street. Even with all the noise around us, I could somehow hear his every breath. I fumble over my words and fail to hold a conversation.)	game/script_bai.rpy	131	"[what]"
bai_ch1_choice1_ec576e31	you	{i}This feeling is so weird. Isn’t he just my friend from Grade 7?{i}	game/script_bai.rpy	132	you "[what]"
bai_ch1_choice1_8d92c57e		{i}Maybe it was just my imagination, but I think I saw him smiling as we walked.{i}	game/script_bai.rpy	133	"[what]"
bai_ch1_choice1_26b12c2e		(We eventually arrive at the station.)	game/script_bai.rpy	134	"[what]"
bai_ch1_choice1_5f3b47c8	bai	Ok then, I’ll see you around at school then! Good night Y/N!	game/script_bai.rpy	138	bai "[what]"
bai_ch1_choice1_6fff8581	you	Good night...	game/script_bai.rpy	140	you "[what]"
2e76d143		$persistent.hong_ch1 = False $persistent.hong_ch2 = False $persistent.hong_ch3 = False $persistent.hong_ch4 = False $persistent.hong_ch5 = False $persistent.hong_ch6 = False $persistent.hong_ch7 = False $persistent.hong_ch8 = False $persistent.hong_ch9 = False $persistent.hong_end = False	game/script_hong.rpy	5	"[what]"
Alex_H_CH1_b94e6587		(At this moment, a middle aged man wearing basketball shorts over leggings walks into the class.)	game/script_hong.rpy	38	"[what]"
Alex_H_CH1_3e34bbbe		(Alex H walks over to the middle aged man smiling.)	game/script_hong.rpy	40	"[what]"
Alex_H_CH1_eeeb5764	hong	Teacher A! We have a new student in our AP Stats class. Do you wanna introduce yourself to him?	game/script_hong.rpy	41	hong "[what]"
Alex_H_CH1_fb74419d	you	{i}Outside of meeting Lucas, this is the first time I’ve seen him smile so brightly.{i}	game/script_hong.rpy	42	you "[what]"
Alex_H_CH1_d03223fe		Teacher A loops his arm around Alex H and walks over to me.	game/script_hong.rpy	43	"[what]"
Alex_H_CH1_854af6ac	ta	Oho~ Mr. President, you're with a girl and you’re specially introducing her to me. Is something going on between you two?	game/script_hong.rpy	44	ta "[what]"
Alex_H_CH1_bf8fd792	"Alex H"	W-what are you talking about Teacher A? We just met today...	game/script_hong.rpy	46	"Alex H" "[what]"
hong_ch1_choice_e0e05a01		I-it’s like what Alex said. We just met today and he was told to show me around the school.	game/script_hong.rpy	51	"[what]"
hong_ch1_choice_55a11050		I’m [you] and I’m a new student in your AP Stats class...	game/script_hong.rpy	53	"[what]"
hong_ch1_choice_17aaa366		(Teacher A Slaps alex’s back and walks away.)	game/script_hong.rpy	59	"[what]"
hong_ch1_choice_9d8879ec		Yep! We fell in love at first sight! Isn't that right darling~.	game/script_hong.rpy	65	"[what]"
hong_ch1_choice_09d27366	hong	...Teacher A, it's not like that. She's just joking.	game/script_hong.rpy	67	hong "[what]"
hong_ch1_choice_1dc768ef	"Teacher A"	Ahh.. alright.	game/script_hong.rpy	70	"Teacher A" "[what]"
hong_ch1_choice_46ccc759		(Teacher A walks away.)	game/script_hong.rpy	71	"[what]"
hong_ch1_choice_212100f1	hong	Don't make jokes like that in front of him next time.	game/script_hong.rpy	74	hong "[what]"
Alex_H_CH1_p2_0af6a79b	hong	You transferred to Moscrop pretty early on so you haven’t missed much in Stats class. But here, you can take a picture of my notes just in case.	game/script_hong.rpy	83	hong "[what]"
Alex_H_CH1_p2_85ea3d2f	hong	We just started learning about normal distributions. Teacher A posts these on the AP Stats team so you can check the powerpoints on there.	game/script_hong.rpy	84	hong "[what]"
Alex_H_CH1_p2_cb7393c2	"[you]"	Alright, thank you!	game/script_hong.rpy	85	"[you]" "[what]"
Alex_H_CH1_p2_c76fc416	ta	Do you guys want randomized seats today? Actually, let’s not. We should let Alex and [you] get to know each other better, yknow?	game/script_hong.rpy	88	ta "[what]"
Alex_H_CH1_p2_6f8395d4		(The whole class turns to look at us.)	game/script_hong.rpy	91	"[what]"
Alex_H_CH1_p2_91c6b4bf		(From the corner of my eye I saw Alex H sighing as he shook his head, face tilted down with a hand over his mouth.)	game/script_hong.rpy	93	"[what]"
Alex_H_CH1_p2_5281e611	ta	We ended at calculating z-scores in the last class. Copy the z-score formula down in your notes.	game/script_hong.rpy	96	ta "[what]"
Alex_H_CH1_p2_6b7e66a6	ta	We standardize our distributions and our observation x to find the z-score. It helps us find how many standard deviations our observation is from the mean.	game/script_hong.rpy	97	ta "[what]"
Alex_H_CH1_p2_028c2dac	ta	Take out your graphing calculators everyone.	game/script_hong.rpy	98	ta "[what]"
Alex_H_CH1_p2_96d18209		(I turn to Alex H.)	game/script_hong.rpy	101	"[what]"
